City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Meadow Lake,US,2022-03-08 00:10:53,34.8014,-106.5436,50.32,20,37,12.46
68,Arraial Do Cabo,BR,2022-03-08 00:08:03,-22.9661,-42.0278,78.15,84,3,22.91
69,Mehamn,NO,2022-03-08 00:10:54,71.0357,27.8492,34.61,67,99,17.52
70,Puerto Maldonado,PE,2022-03-08 00:10:54,-12.6,-69.1833,79.2,83,20,2.3
71,Ilulissat,GL,2022-03-08 00:10:55,69.2167,-51.1,15.82,79,75,3.44
72,Drabiv,UA,2022-03-08 00:10:55,49.963,32.1529,28.02,90,99,6.91
73,Barrow,US,2022-03-08 00:10:37,71.2906,-156.7887,-2.18,71,20,8.05
74,Castro,BR,2022-03-08 00:10:56,-24.7911,-50.0119,68.86,79,44,4.0
75,Codrington,AU,2022-03-08 00:10:56,-38.2667,141.9667,61.75,67,85,21.5
76,Avarua,CK,2022-03-08 00:10:57,-21.2078,-159.775,75.25,94,100,4.61
77,Quebo,GW,2022-03-08 00:10:57,11.3333,-14.9333,76.51,27,55,1.45
78,Zhanaozen,KZ,2022-03-08 00:10:58,43.3,52.8,31.42,41,0,13.96
79,Cabo San Lucas,MX,2022-03-08 00:09:05,22.8909,-109.9124,75.51,61,0,11.5
80,Lichinga,MZ,2022-03-08 00:10:59,-13.3128,35.2406,61.54,98,100,3.87
81,Enshi,CN,2022-03-08 00:10:59,30.3,109.4833,51.33,88,0,0.58
82,Karabash,RU,2022-03-08 00:10:59,55.4808,60.2157,-4.58,100,52,4.05
83,Hualmay,PE,2022-03-08 00:11:00,-11.0964,-77.6139,74.12,74,92,3.85
84,Erzincan,TR,2022-03-08 00:06:07,39.75,39.5,34.9,75,75,4.61
85,Arauca,CO,2022-03-08 00:11:01,7.0847,-70.7591,83.5,45,95,2.77
86,Yaan,NG,2022-03-08 00:11:01,7.3833,8.5667,86.02,55,92,9.4
87,Talnakh,RU,2022-03-08 00:11:02,69.4865,88.3972,-24.66,92,10,1.74
88,Saint George,US,2022-03-08 00:11:02,37.1041,-113.5841,51.64,16,0,21.85
89,Hohhot,CN,2022-03-08 00:11:03,40.8106,111.6522,35.85,33,2,1.99
90,Lavrentiya,RU,2022-03-08 00:12:04,65.5833,-171.0,22.96,83,100,5.99
91,Innisfail,AU,2022-03-08 00:12:04,-17.5333,146.0333,98.22,57,44,2.77
92,Bundaberg,AU,2022-03-08 00:12:05,-24.85,152.35,91.22,62,0,4.0
93,Port Hardy,CA,2022-03-08 00:12:05,50.6996,-127.4199,50.76,67,92,13.73
94,Kaitangata,NZ,2022-03-08 00:12:06,-46.2817,169.8464,65.37,65,68,4.59
95,Kloulklubed,PW,2022-03-08 00:12:06,7.0419,134.2556,82.9,73,76,8.48
96,Ukiah,US,2022-03-08 00:12:07,39.1502,-123.2078,74.52,19,0,6.91
97,Bengkulu,ID,2022-03-08 00:12:07,-3.8004,102.2655,75.47,84,100,3.4
98,Tutoia,BR,2022-03-08 00:12:07,-2.7619,-42.2744,74.48,93,100,6.98
99,Cukai,MY,2022-03-08 00:12:08,4.25,103.4167,75.76,90,57,2.95
100,Kodiak,US,2022-03-08 00:12:08,57.79,-152.4072,38.71,100,100,18.41
101,Tagusao,PH,2022-03-08 00:12:09,9.1924,117.8141,81.25,78,90,12.01
102,Isangel,VU,2022-03-08 00:12:09,-19.55,169.2667,85.14,70,22,2.33
103,Guider,CM,2022-03-08 00:07:11,9.9342,13.9486,90.32,17,100,5.28
104,Okato,NZ,2022-03-08 00:12:10,-39.2,173.8833,71.69,65,62,4.68
105,Gobabis,NA,2022-03-08 00:12:10,-22.45,18.9667,66.36,69,38,5.7
106,Korla,CN,2022-03-08 00:12:11,41.7597,86.1469,43.57,30,58,5.84
107,Beohari,IN,2022-03-08 00:12:11,24.05,81.3833,63.86,30,1,1.63
108,Gimli,CA,2022-03-08 00:12:12,50.6336,-96.9907,19.44,92,100,14.94
109,Klaksvik,FO,2022-03-08 00:12:12,62.2266,-6.589,43.72,79,100,25.19
110,Ozernovskiy,RU,2022-03-08 00:12:13,51.5,156.5167,32.99,94,71,12.39
111,Beringovskiy,RU,2022-03-08 00:12:13,63.05,179.3167,32.79,98,91,7.27
112,Victor Rosales,MX,2022-03-08 00:12:14,22.95,-102.7,73.53,16,0,13.8
113,Port Elizabeth,ZA,2022-03-08 00:12:14,-33.918,25.5701,73.09,90,100,6.35
114,Les Cayes,HT,2022-03-08 00:12:14,18.2,-73.75,76.5,74,17,3.13
115,Boueni,YT,2022-03-08 00:12:15,-12.9025,45.0761,80.58,74,85,7.43
116,Tirukkoyilur,IN,2022-03-08 00:08:11,11.95,79.2,69.51,88,89,4.25
117,Port Hueneme,US,2022-03-08 00:12:16,34.1478,-119.1951,72.9,40,0,18.41
118,Pahrump,US,2022-03-08 00:12:16,36.2083,-115.9839,56.1,15,0,21.99
119,Bredasdorp,ZA,2022-03-08 00:12:17,-34.5322,20.0403,67.28,74,100,8.43
120,New Norfolk,AU,2022-03-08 00:12:17,-42.7826,147.0587,60.93,51,100,3.0
121,Teguise,ES,2022-03-08 00:12:18,29.0605,-13.564,57.42,63,75,4.61
122,Sorland,NO,2022-03-08 00:12:19,67.667,12.6934,37.22,78,100,12.06
123,Upernavik,GL,2022-03-08 00:12:19,72.7868,-56.1549,-4.32,97,100,2.35
124,Vila Do Maio,CV,2022-03-08 00:12:19,15.1333,-23.2167,70.57,72,58,21.79
125,Rorvik,NO,2022-03-08 00:12:20,64.8621,11.2373,43.05,86,100,30.36
126,Guaruja,BR,2022-03-08 00:12:20,-23.9931,-46.2564,89.17,26,30,1.99
127,Bluff,NZ,2022-03-08 00:12:21,-46.6,168.3333,76.8,70,64,3.31
128,Matara,LK,2022-03-08 00:12:21,5.9485,80.5353,74.68,89,32,7.16
129,Hasaki,JP,2022-03-08 00:12:22,35.7333,140.8333,43.29,67,100,9.33
