City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
266,Mecca,SA,75.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
270,Mangaratiba,BR,85.06,clear sky,-22.9597,-44.0406,Portobello Resort & Safari
276,Bonthe,SL,79.79,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
278,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
283,Morondava,MG,80.11,light rain,-20.2833,44.2833,La Case Bambou
286,Villanueva,HN,88.79,scattered clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
288,Kavieng,PG,82.44,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
289,San Policarpo,PH,81.01,overcast clouds,12.1791,125.5072,Agapita M. Nicart
290,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
297,Manthani,IN,85.3,broken clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
302,Paita,PE,80.58,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
307,Omboue,GA,79.12,overcast clouds,-1.5746,9.2618,Hotel Olako
308,Georgetown,MY,84.13,thunderstorm,5.4112,100.3354,Cititel Penang
311,Innisfail,AU,75.69,broken clouds,-17.5333,146.0333,Moondarra Motel
315,Toro,CO,81.68,broken clouds,4.6117,-76.0814,"Finca La María Toro, Valle del Cauca"
317,Maningrida,AU,78.39,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
318,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
319,Pizarro,CO,82.94,light rain,4.9533,-77.366,Hotel Limonar
320,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Pirineos
325,Musiri,IN,86.04,broken clouds,10.9333,78.45,HOTEL GATEWAY
326,Comoapan,MX,77.97,broken clouds,18.4167,-95.1667,Hotel la Finca
328,Santa Isabel Do Rio Negro,BR,82.02,moderate rain,-0.4139,-65.0192,Hotel GSA
331,Sao Joao Da Barra,BR,87.89,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
336,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
341,Nagpur,IN,84.22,haze,21.15,79.1,Collection O 76391 Orange City
350,Kavaratti,IN,83.46,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
360,Gambela,ET,86.49,broken clouds,8.25,34.5833,Solomon Debebe Hotel
364,Bosaso,SO,77.81,clear sky,11.2842,49.1816,Red Sea Hotel
372,Mana,GF,79.47,broken clouds,5.6592,-53.7767,LE SAMANA
373,Bogale,MM,77.4,overcast clouds,16.2833,95.4,Aung Pin Lel Guest House
374,Sabancuy,MX,82.99,overcast clouds,18.9667,-91.1833,pulpo
380,Guhagar,IN,76.05,overcast clouds,17.4842,73.1929,Hotel Seawinds
381,Sur,OM,75.07,clear sky,22.5667,59.5289,Sur Plaza Hotel
382,Pundaguitan,PH,81.7,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
388,Cabinda,AO,82.54,few clouds,-5.55,12.2,Hotel Maiombe
392,Beruwala,LK,78.4,few clouds,6.4788,79.9828,The Palms Hotel
395,Abengourou,CI,75.31,very heavy rain,6.7297,-3.4964,Hotel des Princes
396,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
402,Lorengau,PG,82.58,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
404,Virginia Beach,US,79.05,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
409,Chimbote,PE,75.54,overcast clouds,-9.0853,-78.5783,Hotel Briliá
410,Sibolga,ID,77.0,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
411,Mucurapo,TT,86.05,few clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
414,San Miguel El Alto,MX,79.9,clear sky,21.0167,-102.35,El Campito de los Moreno
417,Soto La Marina,MX,77.76,few clouds,23.7667,-98.2167,Hotel Chicago
424,Savannah Bight,HN,80.87,clear sky,16.45,-85.85,Villa on Dunbar Rock
426,Myrtle Beach,US,82.98,few clouds,33.6891,-78.8867,Bay View Resort Myrtle Beach
432,Sao Jose Da Coroa Grande,BR,82.78,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
435,Kieta,PG,79.56,light rain,-6.2167,155.6333,Uruna Bay Retreat
437,Hobyo,SO,79.25,clear sky,5.3505,48.5268,Iftin hotel hobyo
