City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vardo,NO,70.3705,31.1107,35.56,72,77,27.96,broken clouds
80,Wagar,SD,16.1525,36.2032,87.3,25,14,12.86,few clouds
81,Kiunga,PG,-6.1219,141.2906,70.63,99,100,2.86,overcast clouds
82,Cidreira,BR,-30.1811,-50.2056,71.24,75,100,12.37,overcast clouds
83,Kaitangata,NZ,-46.2817,169.8464,46.9,95,21,4.65,few clouds
84,Faanui,PF,-16.4833,-151.75,82.8,72,9,19.28,light rain
85,Mama,RU,58.3106,112.8986,13.32,96,100,5.91,light snow
86,Atuona,PF,-9.8,-139.0333,77.56,80,15,15.43,light rain
87,Chuy,UY,-33.6971,-53.4616,66.97,44,28,14.88,scattered clouds
88,San Patricio,US,28.017,-97.5169,79.16,23,5,11.3,clear sky
89,Seoul,KR,37.5683,126.9778,38.77,90,75,5.75,broken clouds
90,Rawson,AR,-43.3002,-65.1023,56.52,45,56,11.1,broken clouds
91,Esperance,AU,-33.8667,121.9,62.44,76,100,18.81,overcast clouds
92,Portland,US,45.5234,-122.6762,53.38,76,40,10.36,scattered clouds
93,Beboto,TD,8.2668,16.939,85.39,14,5,3.56,clear sky
94,Kapaa,US,22.0752,-159.319,77.11,72,40,13.8,scattered clouds
95,Bethel,US,41.3712,-73.414,63.01,93,100,4.61,mist
96,Tiksi,RU,71.6872,128.8694,8.31,78,100,25.03,overcast clouds
97,Lhokseumawe,ID,5.1801,97.1507,78.87,88,100,2.15,overcast clouds
98,Souillac,MU,-20.5167,57.5167,77.38,94,20,0.0,few clouds
99,Tiznit,MA,29.5833,-9.5,65.17,52,89,6.08,overcast clouds
100,Tocopilla,CL,-22.092,-70.1979,74.3,67,13,7.38,few clouds
101,New Norfolk,AU,-42.7826,147.0587,56.7,73,47,3.29,scattered clouds
102,Narsaq,GL,60.9167,-46.05,25.02,77,82,3.56,broken clouds
103,Aklavik,CA,68.2191,-135.0107,-7.6,71,100,12.66,overcast clouds
104,Kamenka,RU,51.3223,42.7678,17.22,96,68,5.32,broken clouds
105,Saint Anthony,US,45.0205,-93.218,47.66,60,0,5.75,clear sky
106,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,61,0,17.27,clear sky
107,Sydney,AU,-33.8679,151.2073,64.11,80,75,10.36,broken clouds
108,Isangel,VU,-19.55,169.2667,80.71,89,89,10.36,light rain
109,Kostek,RU,43.3439,46.8541,32.63,87,99,9.89,light snow
